epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,13793.6,2.70373,1.03519,0.7705,0.64737,0.43831,0.51168,0.25132,2.27144,0.9552,0.77171,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,99.6279,2.60779,1.32599,0.78837,0.65717,0.55422,0.5855,0.27493,2.33452,1.03033,0.77078,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,250.196,2.61237,1.27176,0.78667,0.65682,0.549,0.58303,0.2769,2.32965,1.08849,0.76958,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,818.861,2.56672,1.16068,0.78927,0.65857,0.55228,0.58744,0.28088,2.31879,1.12166,0.76879,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2010.84,2.51861,1.12523,0.79383,0.6573,0.5465,0.58362,0.27937,2.32983,1.11791,0.76911,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2134.7,2.57873,1.12565,0.78359,0.66161,0.55124,0.59,0.28311,2.3132,1.10186,0.76823,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,2292.98,2.53278,1.11349,0.78366,0.65601,0.51653,0.56367,0.27174,2.31279,1.10609,0.76742,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,2520.84,2.53375,1.11418,0.78956,0.6674,0.55273,0.59542,0.28617,2.3118,1.08753,0.76711,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,2637.92,2.51198,1.09948,0.79173,0.66604,0.5493,0.59387,0.28692,2.31119,1.07098,0.76729,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,2838.67,2.55993,1.0978,0.77758,0.66842,0.55615,0.60182,0.28901,2.3031,1.06574,0.76713,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3042.62,2.5081,1.08713,0.78838,0.67144,0.54409,0.59412,0.28559,2.29811,1.05481,0.76708,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
